Geography,Population - Total,Population - Age 0-17,Population - Age 18-29,Population - Age 30-39,Population - Age 40-49,Population - Age 50-59,Population - Age 60-69,Population - Age 70-79,Population - Age 80+,Population - Age 0-4,Population - Age 5-11,Population - Age 12-17,Population - Age 5+,Population - Age 18+,Population - Age 65+,Population - Female,Population - Male,Population - Latinx,Population - Asian Non-Latinx,Population - Black Non-Latinx,Population - White Non-Latinx,Population - Other Race Non-Latinx
Chicago,2696561,0.200349631,0.192569721,0.172283883,0.125512458,0.116457592,0.099996625,0.062027523,0.030802567,0.055415027,0.079753805,0.064827757,0.944584973,0.799650369,0.138385892,0.514362553,0.485637447,0.288420696,0.068332591,0.281088023,0.328985697,0.033172993
60601,14804,0.067481762,0.34213726,0.252566874,0.093893542,0.065522832,0.102337206,0.061469873,0.014590651,0.024250203,0.0294515,0.012429073,0.975749797,0.932518238,0.132599297,0.557957309,0.442042691,0.08335585,0.258511213,0.061334774,0.548770603,0.04802756
60602,1142,0.104203152,0.142732049,0.576182137,0.058669002,0.083187391,0.028896673,0.006129597,0,0.052539405,0.051663748,0,0.947460595,0.895796848,0.021015762,0.472854641,0.527145359,0.272329247,0.088441331,0.033274956,0.470227671,0.135726795
60603,1275,0.025882353,0.312941176,0.208627451,0.063529412,0.15372549,0.149803922,0.072941176,0.01254902,0.009411765,0.008627451,0.007843137,0.990588235,0.974117647,0.175686275,0.466666667,0.533333333,0.061176471,0.311372549,0.055686275,0.567058824,0.004705882
60604,687,0.008733624,0.487627365,0.177583697,0.055312955,0.107714702,0.088791849,0.048034934,0.026200873,0,0,0.008733624,1,0.991266376,0.103347889,0.612809316,0.387190684,0.043668122,0.101892285,0.104803493,0.749636099,0
60605,32077,0.088568133,0.281759516,0.271658821,0.116594445,0.097484179,0.079153287,0.051126976,0.013654644,0.037285282,0.036599433,0.014371668,0.962714718,0.911431867,0.097982978,0.511113882,0.488886118,0.088568133,0.154066777,0.142500857,0.570377529,0.044486704
60606,3298,0.036688902,0.239539115,0.364463311,0.111279563,0.144936325,0.055791389,0.047301395,0,0.022741055,0.013947847,0,0.977258945,0.963311098,0.077622802,0.475136446,0.524863554,0.054275318,0.329593693,0.004851425,0.596422074,0.014857489
60607,29990,0.110036679,0.386295432,0.245281761,0.112037346,0.06558853,0.042980994,0.020806936,0.016972324,0.054084695,0.037579193,0.017172391,0.945915305,0.889963321,0.05315105,0.493531177,0.506468823,0.091463821,0.223074358,0.123941314,0.517972658,0.043547849
60608,83689,0.183919034,0.232874093,0.196465485,0.126539928,0.107541015,0.091469608,0.040542963,0.020647875,0.046887883,0.077214449,0.059673314,0.953112117,0.816080966,0.105593328,0.441192988,0.558807012,0.47169879,0.137246233,0.167787881,0.202451935,0.020815161
60609,61861,0.245744492,0.192366758,0.129500008,0.13906985,0.122290296,0.092837167,0.061767511,0.016423918,0.062850584,0.098446517,0.084253407,0.937149416,0.754255508,0.125636508,0.500525371,0.499474629,0.540049466,0.063432534,0.235576534,0.147750602,0.013190863
60610,42422,0.089976899,0.326269389,0.201169205,0.083352977,0.0975673,0.10100891,0.069421527,0.031233794,0.030338032,0.030455896,0.029017962,0.969661968,0.910023101,0.15062939,0.520814672,0.479185328,0.049714771,0.094738579,0.117085475,0.697067559,0.041393617
60611,34562,0.060557838,0.239338001,0.197355477,0.092587235,0.128638389,0.136276836,0.104189572,0.041056652,0.032318732,0.017070771,0.011168335,0.967681268,0.939442162,0.212343036,0.526676697,0.473323303,0.064579596,0.204733522,0.031161391,0.67281986,0.02670563
60612,33908,0.221835555,0.203550784,0.177598207,0.134687979,0.11115371,0.091158429,0.043028194,0.016987142,0.058009909,0.086233337,0.069836027,0.941990091,0.778164445,0.09985844,0.528547835,0.471452165,0.150967323,0.045269553,0.546065825,0.227173528,0.03052377
60613,53282,0.123475095,0.276340978,0.256484366,0.112195488,0.10102849,0.064411997,0.042490897,0.023572689,0.055103037,0.043448069,0.024923989,0.944896963,0.876524905,0.089279682,0.494256972,0.505743028,0.114935626,0.08580759,0.058931722,0.707818776,0.032506287
60614,72119,0.147325947,0.324921311,0.197659424,0.100764015,0.087383353,0.078467533,0.043358893,0.020119525,0.047088839,0.056961411,0.04267946,0.952911161,0.852674053,0.097075667,0.494654668,0.505345332,0.0611628,0.071382021,0.037909566,0.798707691,0.030837921
60615,41767,0.146072258,0.267483899,0.159384203,0.109991141,0.112600857,0.119304714,0.056456054,0.028706874,0.042114588,0.053439318,0.050350755,0.957885412,0.853927742,0.140900711,0.545119353,0.454880647,0.052792875,0.081284267,0.531951062,0.282639404,0.051332392
60616,53085,0.133220307,0.206480173,0.185513799,0.110878779,0.138118112,0.118300838,0.059828577,0.047659414,0.042516718,0.047150796,0.043044174,0.957483282,0.866779693,0.163793915,0.518941321,0.481058679,0.0751248,0.372478101,0.232269003,0.293529246,0.026598851
60617,84193,0.257111636,0.162127493,0.123383179,0.118976637,0.126316915,0.103654698,0.068449871,0.039979571,0.059874336,0.094782227,0.102455073,0.940125664,0.742888364,0.160429014,0.546529997,0.453470003,0.400745905,0.002031048,0.532039481,0.057962063,0.007221503
60618,95078,0.218378594,0.165348451,0.217242685,0.161267591,0.108121753,0.070805023,0.040482551,0.018353352,0.07018448,0.080228865,0.067207977,0.92981552,0.781621406,0.085992553,0.503228928,0.496771072,0.382917184,0.063915943,0.025421233,0.482877217,0.044868424
60619,63481,0.215985886,0.135804414,0.136655062,0.115058049,0.147855264,0.129708102,0.068256644,0.05067658,0.056662623,0.080717065,0.078558939,0.943337377,0.784014114,0.174760952,0.559316961,0.440683039,0.016430113,0.002646461,0.94788992,0.009561916,0.02347159
60620,69357,0.236097294,0.160084779,0.113788082,0.118488401,0.131479159,0.114148536,0.073345156,0.052568594,0.065833297,0.090185562,0.080078435,0.934166703,0.763902706,0.181380394,0.55135026,0.44864974,0.027927967,0.002941304,0.94372594,0.011159652,0.014245137
60621,26538,0.266259703,0.162973849,0.109993217,0.1033989,0.136069033,0.11481649,0.059725676,0.046763132,0.077963675,0.102871354,0.085047856,0.922036325,0.733740297,0.15219685,0.525171452,0.474828548,0.03613686,0.005426181,0.92316678,0.014997362,0.020272816
60622,54650,0.141097896,0.26221409,0.312204941,0.122305581,0.072772187,0.045343092,0.026093321,0.017968893,0.064940531,0.044757548,0.031125343,0.935059469,0.858902104,0.065288198,0.497291857,0.502708143,0.206221409,0.047666972,0.058353156,0.641610247,0.046148216
60623,77352,0.26388458,0.181275209,0.145865653,0.124831937,0.110158755,0.085776709,0.064626642,0.023580515,0.066255559,0.108271279,0.089357741,0.933744441,0.73611542,0.127469232,0.515267866,0.484732134,0.666744234,0.003400041,0.284310684,0.038809598,0.006735443
60624,36986,0.267695885,0.19104526,0.121802844,0.12726437,0.117612069,0.103390472,0.043016276,0.028172822,0.072135403,0.100767858,0.094576326,0.927864597,0.732304115,0.111123128,0.515816796,0.484183204,0.077299519,0.003704104,0.86849078,0.034121019,0.016384578
60625,80028,0.195768981,0.179987005,0.219110811,0.140538312,0.116784126,0.086832109,0.037849253,0.023129405,0.059366722,0.074711351,0.05994152,0.940633278,0.804231019,0.100552307,0.506147848,0.493852152,0.323611736,0.126468236,0.047233468,0.464374969,0.038311591
60632,87395,0.263344585,0.195388752,0.147399737,0.115429945,0.121368499,0.076663425,0.060381029,0.020024029,0.070473139,0.098724183,0.09413582,0.929526861,0.736655415,0.112157446,0.486904285,0.513095715,0.826179987,0.068882659,0.010080668,0.090577264,0.004279421
