PIB File Number,Date Occurred,Originating Bureau,Division level,Division,Unit,Working Status,Shift,Investigation status,Disposition,Service Type,Light Condition,Weather Condition,Use of Force Type,Use of Force Level,Subject Influencing Factors,Use of Force Effective,Officer Race/Ethnicity,Officer Gender,Officer Age,Officer Years of Service,Distance Between,Subject Gender,Subject Ethnicity,Subject Age,Subject Build,Subject Height,Subject Injured,Subject Hospitalized,Subject Arrested,Subject Arrest Charges,Use of Force Reason,Officer Injured
UF2014-0988,05/03/2023,FOB - Field Operations Bureau,2nd District,Day Watch,Day Watch,Unknown Working Status,Unknown Shift Hours,Initial,Pending,Arresting,Good,Clear Conditions,Takedown (no injury) | Force (Take Down),L1 | L2,None detected,Yes | No,Hispanic | White,Male | Male,31 | 41,6 | 5,0 feet to 1 feet,Male,Black,33,Medium,5'7'' to 5'9'',No,No,Yes,,Resisting Lawful Arrest,No | No
FTN2023-0035,01/08/2023,FOB - Field Operations Bureau,5th District,Day Watch,Day Watch,Unknown Working Status,Unknown Shift Hours,Completed,UOF Justified With Policy Violation,Arresting,Good,Other,Hands | Takedown (no injury),L1 | L1,Unknown,Yes | Yes,Black | Black,Male | Male,25 | 24,5 | 4,1 feet to 3 feet,Male,Black,29,Medium,6'1'' to 6'3'',No,No,Yes,,refuse verbal commands,No | No
FTN2023-0027,01/13/2023,FOB - Field Operations Bureau,3rd District,Night Watch,Night Watch,Unknown Working Status,Unknown Shift Hours,Completed,UOF Justified,Arresting,Good,Clear Conditions,Takedown (w/injury) | Force (Take Down) | - Hands (with injury),L2 | L2 | L2,Unknown,Yes | Yes | Yes,White | Black | White,Female | Male | Male,33 | 27 | 30,5 | 4 | 3,0 feet to 1 feet,Male,Black,25,Small,5'10'' to 6'0'',Yes,Yes,Yes,,Resisting Lawful Arrest,No | No | No
FTN2023-0048,01/26/2023,FOB - Field Operations Bureau,3rd District,Day Watch,Day Watch,Unknown Working Status,Unknown Shift Hours,Completed,UOF Justified,Arresting,Good,Clear Conditions,Firearm (Exhibited),L1,,Yes,Hispanic,Male,58,16,11 feet to 14 feet,Male,Black,24,Medium,5'7'' to 5'9'',No,No,Yes,,refuse verbal commands,No
FTN2023-0112,02/22/2023,FOB - Field Operations Bureau,8th District,DIU Persons,DIU Persons DIU,Unknown Working Status,Unknown Shift Hours,Completed,UOF Justified,Call for Service,Poor,Clear Conditions,CEW Deployment,L2,Unknown,No,White,Male,26,4,1 feet to 3 feet,Male,Black,,Medium,5'7'' to 5'9'',No,No,No,,Weapon Exhibited,No
FTN2023-0305,06/29/2023,FOB - Field Operations Bureau,SOD,Tact 1,Tact 1,Unknown Working Status,Unknown Shift Hours,Completed,UOF Justified,Pedestrian Stop,Good,Clear Conditions,Firearm (Exhibited),L1,None detected,Yes,Black,Male,33,5,4 feet to 6 feet,Male,Black,39,Medium,5'4'' to 5'6'',No,No,No,,Flight from an Officer,No
FTN2023-0331,07/15/2023,FOB - Field Operations Bureau,2nd District,DIU Persons,DIU Persons DIU,Regular Working,Between 11pm-7am,Completed,UOF Justified,Arresting,Good,Clear Conditions,Takedown (no injury),L1,None detected,Yes,Black,Male,29,4,0 feet to 1 feet,Male,Black,25,Medium,5'10'' to 6'0'',No,No,Yes,,Resisting Officer w/Weapon,No
FTN2023-0432,10/16/2023,FOB - Field Operations Bureau,8th District,Gen Assignment,Gen Assignment Other,Unknown Working Status,Unknown Shift Hours,Completed,UOF Justified,Pedestrian Stop,Good,Clear Conditions,Force (Take Down),L2,Unknown,Yes,White,Male,46,0,*Direct Contact,Male,Black,28,Small,5'7'' to 5'9'',No,Yes,Yes,,Other,No
FTN2023-0188,04/09/2023,FOB - Field Operations Bureau,6th District,Night Watch,Night Watch,Unknown Working Status,Unknown Shift Hours,Completed,UOF Justified,Call for Service,Good,Clear Conditions,Takedown (no injury) | Hands,L1 | L1,None detected,Yes | Yes,White | White,Male | Male,40 | 31,16 | 8,0 feet to 1 feet,Male,Black,33,Medium,5'4'' to 5'6'',No,No,Yes,,Resisting Lawful Arrest,Yes | Yes
FTN2023-0187,04/09/2023,FOB - Field Operations Bureau,8th District,Day Watch,Day Watch,Unknown Working Status,Unknown Shift Hours,Completed,UOF Justified,Arresting,Good,Clear Conditions,Hands,L1,Alchohol and unknown drugs,Yes,White,Male,57,33,0 feet to 1 feet,Male,Black,23,Medium,5'10'' to 6'0'',No,No,Yes,,Resisting Lawful Arrest,No
